IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.17.160.34,443,true,HKG,Asia Pacific,Hong Kong,58 ms,7140 kB/s
172.64.144.177,443,true,HKG,Asia Pacific,Hong Kong,35 ms,7122 kB/s
172.67.214.8,443,true,SJC,North America,San Jose,183 ms,7088 kB/s
172.67.135.124,443,true,HKG,Asia Pacific,Hong Kong,32 ms,7067 kB/s
104.16.76.186,443,true,HKG,Asia Pacific,Hong Kong,36 ms,7047 kB/s
104.19.222.95,443,true,SJC,North America,San Jose,178 ms,7023 kB/s
104.18.144.169,443,true,HKG,Asia Pacific,Hong Kong,30 ms,6991 kB/s
104.16.19.23,443,true,HKG,Asia Pacific,Hong Kong,31 ms,6987 kB/s
104.20.74.106,443,true,HKG,Asia Pacific,Hong Kong,37 ms,6982 kB/s
172.67.180.229,443,true,HKG,Asia Pacific,Hong Kong,35 ms,6973 kB/s
104.19.40.138,443,true,HKG,Asia Pacific,Hong Kong,41 ms,6950 kB/s
104.17.171.120,443,true,HKG,Asia Pacific,Hong Kong,30 ms,6776 kB/s
172.67.138.86,443,true,HKG,Asia Pacific,Hong Kong,34 ms,6761 kB/s
104.16.180.12,443,true,TPE,Asia Pacific,Taipei,55 ms,6753 kB/s
104.18.99.118,443,true,HKG,Asia Pacific,Hong Kong,30 ms,6683 kB/s
104.18.126.47,443,true,HKG,Asia Pacific,Hong Kong,33 ms,6679 kB/s
172.67.5.205,443,true,HKG,Asia Pacific,Hong Kong,36 ms,6675 kB/s
104.17.141.186,443,true,SJC,North America,San Jose,199 ms,6605 kB/s
104.19.218.112,443,true,HKG,Asia Pacific,Hong Kong,37 ms,6597 kB/s
104.19.208.92,443,true,HKG,Asia Pacific,Hong Kong,37 ms,6589 kB/s
104.21.57.224,443,true,HKG,Asia Pacific,Hong Kong,36 ms,6545 kB/s
172.66.0.69,443,true,HKG,Asia Pacific,Hong Kong,35 ms,6419 kB/s
172.64.155.249,443,true,HKG,Asia Pacific,Hong Kong,33 ms,6414 kB/s
104.18.224.68,443,true,TPE,Asia Pacific,Taipei,54 ms,6380 kB/s
104.16.173.252,443,true,HKG,Asia Pacific,Hong Kong,33 ms,6373 kB/s
172.67.168.45,443,true,HKG,Asia Pacific,Hong Kong,33 ms,6368 kB/s
104.18.124.47,443,true,HKG,Asia Pacific,Hong Kong,31 ms,6368 kB/s
104.17.209.32,443,true,HKG,Asia Pacific,Hong Kong,48 ms,6339 kB/s
104.22.73.165,443,true,HKG,Asia Pacific,Hong Kong,57 ms,6316 kB/s
104.18.30.209,443,true,HKG,Asia Pacific,Hong Kong,33 ms,6291 kB/s
104.17.218.246,443,true,HKG,Asia Pacific,Hong Kong,39 ms,6268 kB/s
104.18.249.236,443,true,SJC,North America,San Jose,185 ms,6209 kB/s
172.67.191.135,443,true,HKG,Asia Pacific,Hong Kong,34 ms,6194 kB/s
104.18.101.95,443,true,SJC,North America,San Jose,181 ms,6129 kB/s
104.26.2.40,443,true,HKG,Asia Pacific,Hong Kong,31 ms,6087 kB/s
104.18.4.101,443,true,HKG,Asia Pacific,Hong Kong,33 ms,6074 kB/s
104.17.202.204,443,true,HKG,Asia Pacific,Hong Kong,30 ms,6027 kB/s
172.67.185.97,443,true,HKG,Asia Pacific,Hong Kong,32 ms,6015 kB/s
172.67.7.226,443,true,HKG,Asia Pacific,Hong Kong,31 ms,5942 kB/s
